State,NameOfFirm,URL,PrimaryContact,Address,Phone,ListOfStaff,Website,Specialities
California,"DAC Remodeling, Inc.",https://remodelingdoneright.nari.org/remodelers/12591312/Details/,"David Anderson CR, CKBR","Hilmar, CA",209-634-7707,"David Anderson CR, CKBR; Brian Jones CLC; Jason Kiesel CLC; Luis Magana CLC",http://www.dacremodeling.com/,Flooring Contractor;Fireplaces/Chimneys;Kitchens/Baths;Contractor;Windows/Doors;Additions;Residential & Commercial Remodel;Remodeling Contractor
California,Gannage Design & Construction,https://remodelingdoneright.nari.org/remodelers/12687230/Details/,Denise Kneeskern UDCP,"Templeton, CA",805-434-3339,Mikhail Gannage CR; Denise Kneeskern UDCP,https://www.gannageconstruction.com/,Contractor;Designer/Architect
California,GSL Construction,https://remodelingdoneright.nari.org/remodelers/12592417/Details/,"Gary Lunger CR, CKBR, UDCP","Carmichael, CA",(916)944-3219,"Gary Lunger CR, CKBR, UDCP",http://gslconstructionsac.com/,Green Remodeler;Remodeling Contractor;Additions;Contractor;Kitchens/Baths
California,"Harrell Remodeling, Inc.",https://remodelingdoneright.nari.org/remodelers/95266/Details/,"Lisa Sten CR, UDCP","Palo Alto, CA",(650)230-2900,"Gloria Carlson UDCP; Gary Gray CRPM; Jesse Haynie CLC; Kai Jensen CRPM; Calvin Mah CLC; Patrick Ridgway CLC; Joselino Rivera CLC; Mario Rivera CLC; Nigel Robinson CLC; Dale Schumacher CLC; Lisa Sten CR, UDCP; Divya Vijayanandakumar UDCP",http://www.harrell-remodeling.com/,Design/Build;Windows/Doors;Remodeling Contractor;Cabinet Installer;Deck Contractor;Kitchens/Baths;Universal Design Remodeler;Contractor;Green Remodeler
California,JRP Design & Remodel,https://remodelingdoneright.nari.org/remodelers/12614252/Details/,"Justin Pecikonis CR, UDCP","Westlake Village, CA",(805)446-6500,"Vincent LaPierre CRPM; Justin Pecikonis CR, UDCP",http://www.jrpdesignandremodel.com/,Windows/Doors;Remodeling Contractor;Closet Design & Install;Outdoor Living/Kitchens;Cabinet Installer;Kitchens/Baths;Contractor;Design/Build
California,Mascheroni Construction,https://remodelingdoneright.nari.org/remodelers/12614827/Details/,Andy Mascheroni,"Berkeley, CA",(510) 845-3100,"Andy Mascheroni; Robert Mascheroni CR, CRPM",http://www.mascheroniconstruction.com/,Green Remodeler;Remodeling Contractor;Stair Systems;Business Services/Consulting;Residential & Commercial Remodel;Specialty Contractor;Kitchens/Baths
California,Morse Custom Homes & Remodeling,https://remodelingdoneright.nari.org/remodelers/12541766/Details/,Mary Parton,"Davis, CA",(530)758-5321,Marty Morse CR; Mary Parton; Mark Sutherland CKBR,http://www.morseremodeling.com/,Windows/Doors;Green Remodeler;Kitchens/Baths;Countertop Installers;Cabinet Installer;Remodeler;Deck Contractor;Contractor;Universal Design Remodeler
California,Next Stage Design + Build,https://remodelingdoneright.nari.org/remodelers/12543604/Details/,"James Kabel CR, CRPM","San Jose, CA",(408)323-5300,"Melissa Acosta CRPM; Joy Allen UDCP; Sarah Gaffney CKBR; Nicole Guilbert UDCP; Dianne Howard UDCP; James Kabel CR, CRPM; Tim Kistler CRPM; Brad Kupper CRPM; Corina Ramirez UDCP; Jeff Schroeder CR, CRPM; Charles Utley CLC; Shelly Yoder UDCP",https://www.nextstagedesign.com/,Remodeling Contractor;Cabinet Installer;Siding Contractor;Contractor;Windows/Doors;Deck Contractor;Lighting Contractor;Cabinets - Refacing;Kitchens/Baths;Universal Design Remodeler
California,"Preferred Operations, Inc. dba Preferred Remodelers",https://remodelingdoneright.nari.org/remodelers/12527803/Details/,"Jim Ward CR, CKBR","Escondido, CA",(760)741-1902,"Jim Ward CR, CKBR",http://www.preferredremodelers.com/,Contractor;Kitchens/Baths;Additions;Cabinet Installer;Outdoor Living/Kitchens;Masonry Contractor;Remodeling Contractor;Universal Design Remodeler;Fireplaces/Chimneys;Restoration
California,"Price Builders, Inc.",https://remodelingdoneright.nari.org/remodelers/12290445/Details/,Leo Finkelstein CR,"San Diego, CA",(858)866-4004,Leo Finkelstein CR,http://www.pricebuilders.com/,Contractor;Kitchens/Baths;Remodeling Contractor;Additions;Specialty Contractor;Design/Build
California,Silver Fern Construction & Remodeling,https://remodelingdoneright.nari.org/remodelers/12542882/Details/,Rick Fooy CR,"Stockton, CA",(209)931-1822,Rick Fooy CR; Tamara Fooy CKBR,http://www.silverfernremodeling.com/,Remodeling Contractor;Design/Build;Additions;Cabinet Installer;Contractor;Windows/Doors;Tile Contractor;Countertop Installers;Kitchens/Baths
California,"The Machina Group, Inc.",https://remodelingdoneright.nari.org/remodelers/12610501/Details/,Kenneth Enea CR,"Van Nuys, CA",(310)927-3009,Kenneth Enea CR,http://www.themachinagroup.com/,Contractor;Countertop Installers;Kitchens/Baths;Design/Build;Moulding;Remodeling Contractor;Cabinet Installer
California,"Wolfe, Inc.",https://remodelingdoneright.nari.org/remodelers/12627230/Details/,Spencer Wolfe,"Oakland, CA",(510) 289-1344,"Spencer Wolfe CR, CLC; Spencer Wolfe",http://www.wolfe-inc.com/,Contractor;Remodeling Contractor;Design/Build
California,Yucaipa Kitchen & Bathroom Designs & Remodeling,https://remodelingdoneright.nari.org/remodelers/12607254/Details/,"Jerald Huddleston CR, CKBR","Yucaipa, CA",(909)798-6261,"Jerald Huddleston CR, CKBR",http://yucaiparemodeling.com/,Universal Design Remodeler;Countertop Installers;Design/Build;Remodeling Contractor;Kitchens/Baths
California,Gordon Reese Design Build,https://remodelingdoneright.nari.org/remodelers/12602109/Details/,"Gordon Reese III CKBR, UDCP","Walnut Creek, CA",(925)885-3770,"Gordon Reese III CKBR, UDCP",http://www.gordonreese.com/,Restoration;Deck Contractor;Kitchens/Baths;Remodeling Contractor;Green Remodeler;Universal Design Remodeler;Cabinet Installer;Windows/Doors;Contractor
California,"Hammerschmidt Construction, Inc.",https://remodelingdoneright.nari.org/remodelers/12531701/Details/,John Hammerschmidt CKBR,"Los Altos, CA",(650)948-4200,John Hammerschmidt CKBR,http://www.hammerschmidtinc.com/,Design/Build;Contractor;Green Remodeler;Universal Design Remodeler;Restoration;Kitchens/Baths;Remodeling Contractor;Landscapers;Windows/Doors
